Please enter your Mechanical Turk ID_NL		Do you have any feedback,comment or what issue did you had in this study?_NL		OrderOfConditions		WindowWidth		WindowHeight		OffFocusTime		UserAccuracyInfo		UserTimeInfo		ColorBlindessTestAnswers		DateAndTime
A17ZGIULVRGXRP		No		 : NL : MAT		1440		724		notRecorded		0.8,0.4,0.6		15.6,25.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 00:46:24 GMT-0500 (EST)
A93ALGAFX49BF		NO 		 : NL : MAT		1536		755		notRecorded		0.6,0.2,1.0		6.6,42.2,0.0		12,29,3,74,45,7,23,42		Wed Dec 09 2015 00:48:33 GMT-0500 (Eastern Standard Time)
A1DCKRRPA4AWVD		This was a difficult task because the track pad was not responding. Either the track pad zoomed out and got stuck, and I could not find the page on the right because the page stayed too large.		 : NL : MAT		531		293		notRecorded		0.6,0.2,0.6		20.0,44.0,0.0		12,29,3,74,0,7,73,42		Wed Dec 09 2015 00:51:32 GMT-0500 (EST)
A25XZ1GF9E0845		no		 : NL : MAT		1280		622		notRecorded		1.0,0.2,0.6		13.2,40.2,0.0		12,29,3,74,45,7,73,42		Tue Dec 08 2015 23:53:26 GMT-0600 (Central Standard Time)
A34ZHROFSVEF6V		I didn't understand the shortest path section.		 : MAT : NL		1385		722		notRecorded		0.6,0.0,1.0		18.6,21.0,0.0		12,29,3,74,45,7,73,42		Tue Dec 08 2015 23:10:44 GMT-0700 (Mountain Standard Time)
A1828Q2O5R0G8Q		The first time the graph disappeared it was the first time I tried to drag the chart on the first question, so I assumed that something had broken. I refreshed the survey, redid the training and started from there. If that makes for an invalid result, I apologize.		 : MAT : NL		1920		979		notRecorded		1.0,0.4,1.0		16.8,34.0,0.0		12,29,3,74,45,7,73,42		Tue Dec 08 2015 23:24:29 GMT-0700 (Mountain Standard Time)
A3PGCZCYMXQMZ8		There are too many ingredients		 : MAT : NL		1006		456		notRecorded		0.6,0.0,0.6		20.0,59.0,0.0		12,129,3,74,45,7,73,42		Wed Dec 09 2015 01:39:14 GMT-0500 (Eastern Standard Time)
A6FMGGN74ZJ7C		A6FMGGN74ZJ7C		 : MAT : NL		1366		623		notRecorded		0.4,0.4,0.6		8.4,6.6,0.0		12,29,3,74,45,7,13,42		Wed Dec 09 2015 04:50:03 GMT-0500 (Eastern Standard Time)
A3JI3B5GTVA95F		Interesting tasks!Some of these, especially a few of the tasks asking for the number of connections, were very difficult / tricky to figure out in time.Nonetheless, thanks!		 : NL : MAT		1400		913		notRecorded		0.8,0.2,0.6		15.6,41.8,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 05:02:41 GMT-0500 (Eastern Standard Time)
A2ZEECIJDZAPFX		interesting study		 : MAT : NL		1366		643		notRecorded		0.6,0.4,0.6		18.4,40.6,0.0		12,29,3,71,45,7,73,42		Wed Dec 09 2015 13:51:47 GMT 0200 (GTB Standard Time)
A3ADXT6JK014CQ		NONE		 : NL : MAT		1440		799		notRecorded		1.0,0.0,1.0		14.4,14.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 07:12:01 GMT-0500 (Eastern Standard Time)
A1RAXN7K4I7JJO		Very difficult tasks		 : MAT : NL		1948		873		notRecorded		0.8,0.4,0.4		19.2,30.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 08:14:35 GMT-0600 (Central Standard Time)
A1SC2RFB9W6BSG		Fun study. Was rather challenging. 		 : NL : MAT		1366		667		notRecorded		1.0,0.4,0.6		15.0,19.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 09:53:03 GMT-0500 (Eastern Standard Time)
A6T7H70ZUFURS		The second half should have been explained a little better		 : NL : MAT		1920		955		notRecorded		1.0,0.4,0.8		15.0,19.0,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 09:54:10 GMT-0500 (Eastern Standard Time)
A2UCO1QAJ36RQ9		A little confusing. 		 : NL : MAT		1680		941		notRecorded		0.6,0.2,0.6		15.0,16.0,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 10:04:25 GMT-0500 (Eastern Standard Time)
A1IZ4NX41GKU4X		NO		 : MAT : NL		1920		947		notRecorded		0.8,0.0,0.4		19.2,26.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 10:50:48 GMT-0500 (Eastern Standard Time)
A3NUYAG56BPYBB		no issues with study		 : MAT : NL		1366		677		notRecorded		0.8,0.2,1.0		15.6,39.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 10:54:20 GMT-0500 (Eastern Standard Time)
A3HAPMZV7CYDY8		No		 : MAT : NL		1440		775		notRecorded		0.4,0.0,0.4		1.6,3.4,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 12:09:32 GMT-0500 (Eastern Standard Time)
A2JEJCOMJOOM2E		My accuracy is likely quite low as my attention was split between the visualization and the timer.		 : NL : MAT		1280		619		notRecorded		0.6,0.0,0.4		20.0,53.6,0.0		12,29,3,71,45,7,73,42		Wed Dec 09 2015 11:39:04 GMT-0600 (Central Standard Time)
A119Y1O8BULMQI		no		 : MAT : NL		1600		799		notRecorded		1.0,0.0,0.6		5.0,10.0,0.0		12,029,3,74,45,7,73,42		Wed Dec 09 2015 10:55:45 GMT-0700 (Mountain Standard Time)
A1YDSN5I245LET		No.		 : NL : MAT		1366		643		notRecorded		1.0,0.4,0.8		16.0,19.8,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 13:25:26 GMT-0500 (Eastern Standard Time)
A3NB806QUINGG4		For some reason the app was only a third of my browser wide.  If it had been a larger area of my screen it would have been easier to investigate.		 : NL : MAT		1866		1027		notRecorded		1.0,0.0,0.6		18.2,38.4,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 10:34:29 GMT-0800 (Pacific Standard Time)
A1QCOZ8K0044UM		I was very, very bad at this. 		 : MAT : NL		1289		707		notRecorded		0.0,0.2,0.6		9.4,5.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 14:37:48 GMT-0500 (Eastern Standard Time)
ASH55LLJVVBOZ		Fun; thanks!		 : MAT : NL		1920		955		notRecorded		1.0,0.6,1.0		17.4,40.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 14:40:01 GMT-0500 (Eastern Standard Time)
AA0QKSSEQ0B6Q		n/a		 : NL : MAT		1280		923		notRecorded		1.0,0.4,0.6		14.2,43.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 13:50:35 GMT-0800 (Pacific Standard Time)
A2Q75KUVZE360Q		the font was way too small - I had to zoom in to see the ingredients. I am very sure I got most of the questions wrong. 		 : MAT : NL		1517		752		notRecorded		1.0,0.2,1.0		7.8,3.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 17:11:23 GMT-0500 (Eastern Standard Time)
A1XHY719U7XBHC		I am sorry, but some of instructions were not clear...i accepted this HIT once, but then spent 29 minutes trying to understand how the examples worked.  Then returned it, and accepted it again and thought i undertood - but maybe not.  Finding whether two ingredients are linked is easy and I get that part (although the time to do it is short if there are a lot of ingredients).  FInding shortest number of links between two highlited ingredients - I am not sure that I understood that one.  Any in two cases there did not appear to be a link. SO admittedly I was guessing in a couple - as I apparentrly didnt understand what was being asked of me.		 : MAT : NL		1920		955		notRecorded		0.8,0.2,0.8		17.0,47.8,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 17:18:18 GMT-0600 (Central Standard Time)
A8DV44IJB2S4N		If another study like this comes out, it would be easier if it wasn't so time consuming and difficult to adjust the zoom levels. 		 : NL : MAT		1242		585		notRecorded		0.8,0.4,0.8		19.2,48.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 15:47:31 GMT-0800 (Pacific Standard Time)
A28WKEUHQLFVS3		No.		 : MAT : NL		1920		945		notRecorded		0.6,0.0,1.0		7.6,10.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 16:52:58 GMT-0800 (Pacific Standard Time)
A1JNIYXK50UHVL		this was confusing and hard to zoom in on		 : MAT : NL		1280		685		notRecorded		0.8,0.0,0.6		13.0,3.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 19:02:34 GMT-0600 (Central Standard Time)
A10H1H4FU0S098		The survey is entertaining but a bit confusing and the timer for answering the questions is too short, anyhow I have put my best effort   		 : NL : MAT		1366		643		notRecorded		0.8,0.0,0.8		20.0,52.4,0.0		012,29,3,74,45,7,73,42		Wed Dec 09 2015 20:27:40 GMT-0500 (SA Pacific Standard Time)
A3VTVTDQACTVOP		Is it possible to reset the visualization automatically after each question? I tended to move the objects and it quickly became an unruly mess without a reset.		 : NL : MAT		1440		809		notRecorded		0.8,0.6,0.6		14.6,44.6,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 20:33:49 GMT-0500 (Eastern Standard Time)
A2UI969WFTGQ77		confusing, difficult to zoom/pan		 : MAT : NL		1600		799		notRecorded		0.6,0.2,0.2		6.8,4.0,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 20:07:44 GMT-0600 (Central Standard Time)
A366DNZBOBFEC8		No		 : NL : MAT		1280		675		notRecorded		1.0,0.4,1.0		18.8,38.0,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 22:39:39 GMT-0500 (Eastern Standard Time)
A2GBG6DWR3OEFE		that was hard to count  lol		 : MAT : NL		1280		899		notRecorded		0.4,0.0,0.4		9.8,23.4,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 23:11:01 GMT-0500 (Eastern Standard Time)
A4MR5H90F6GCQ		This study seemed confusing. I understood the first half of the study but when the questions changed to the new format, it seems as though the correct graph should have used the nodes to find the answers.		 : MAT : NL		1920		955		notRecorded		0.6,0.0,0.8		18.4,50.0,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 21:12:36 GMT-0700 (Mountain Standard Time)
A3TU3HX04ZTT9I		No comment		 : NL : MAT		1680		935		notRecorded		0.8,0.2,0.8		18.2,35.2,0.0		12,29,3,74,45,7,73,42		Wed Dec 09 2015 20:59:26 GMT-0800 (Pacific Standard Time)
A1M7LS52Q27AHU		remembering my choices from earlier was difficult.		 : NL : MAT		878		394		notRecorded		0.6,0.0,0.8		1.4,2.4,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 00:20:15 GMT-0600 (Central Standard Time)
AKM7BAAH9OPGW		nO		 : MAT : NL		1920		955		notRecorded		0.4,0.2,0.8		14.0,41.0,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 08:38:21 GMT-0600 (Central Standard Time)
A2O5OJXCUFQ3FV		thanks maybe some extra time on the 17 second questions. it took like 5 second to load everytime i zoomed in and out		 : MAT : NL		1366		643		notRecorded		0.4,0.0,0.4		7.4,13.6,0.0		12,29,3,74,45,7,77,42		Thu Dec 10 2015 08:43:12 GMT-0600 (Central Standard Time)
A2Z750U1HCWVEE		No thanks.		 : NL : MAT		1280		678		notRecorded		0.8,0.6,1.0		17.2,35.4,0.0		12,29,3,74,45,7,73,42		Thu Dec 10 2015 08:48:06 GMT-0600 (CST)
