Acc_neighbor_two_step_matrixShortSameQn,Acc_neighbor_two_step_matrixShortRephrasedQn
0.5,1.0
0.8333333333333334,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,0.5
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
0.16666666666666666,0.5
1.0,1.0
1.0,1.0
0.6666666666666666,1.0
1.0,0.3333333333333333
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.8333333333333334
0.3333333333333333,0.3333333333333333
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,0.5
1.0,1.0
1.0,0.5
1.0,0.8333333333333334
0.8333333333333334,0.8333333333333334
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.6666666666666666
1.0,1.0
1.0,0.3333333333333333
1.0,1.0
0.3333333333333333,1.0
1.0,1.0
0.6666666666666666,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
0.8333333333333334,1.0
0.5,1.0
0.6666666666666666,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
0.8333333333333334,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,0.5
1.0,0.8333333333333334
1.0,1.0
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.8333333333333334
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
0.8333333333333334,1.0
1.0,0.6666666666666666
1.0,0.5


Acc_neighbor_count_matrixShortSameQn,Acc_neighbor_count_matrixShortRephrasedQn
1.0,1.0
0.16666666666666666,1.0
1.0,1.0
1.0,1.0
0.6666666666666666,1.0
1.0,0.6666666666666666
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,0.6666666666666666
1.0,1.0
1.0,1.0
0.3333333333333333,1.0
1.0,0.8333333333333334
0.8333333333333334,1.0
0.6666666666666666,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
0.8333333333333334,0.8333333333333334
1.0,1.0
1.0,0.8333333333333334
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,0.8333333333333334
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
0.3333333333333333,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
0.8333333333333334,0.8333333333333334
1.0,1.0
1.0,1.0


Time_neighbor_two_step_matrixShortSameQn,Time_neighbor_two_step_matrixShortRephrasedQn
2.0,7.0
9.166666666666666,6.0
7.5,8.666666666666666
4.0,5.833333333333333
5.166666666666667,4.0
2.6666666666666665,6.0
