Time_neighbor_two_step_matrixShortRephrasedQn,Time_neighbor_count_matrixShortRephrasedQn
7.0,5.833333333333333
6.0,5.166666666666667
8.666666666666666,6.333333333333333
5.833333333333333,6.5
4.0,3.8333333333333335
6.0,7.166666666666667
7.0,7.0
7.666666666666667,6.166666666666667
5.166666666666667,3.8333333333333335
3.5,4.0
5.333333333333333,4.333333333333333
5.5,3.3333333333333335
6.833333333333333,6.0
6.666666666666667,7.333333333333333
4.666666666666667,4.166666666666667
5.5,5.0
4.666666666666667,4.833333333333333
6.166666666666667,4.5
9.833333333333334,5.666666666666667
8.833333333333334,5.333333333333333
4.0,3.1666666666666665
5.0,2.8333333333333335
5.666666666666667,5.333333333333333
6.166666666666667,7.5
6.5,6.333333333333333
6.333333333333333,9.0
5.333333333333333,3.5
7.0,4.333333333333333
6.833333333333333,5.5
5.0,4.166666666666667
6.5,4.0
5.166666666666667,5.666666666666667
5.5,5.166666666666667
5.0,3.3333333333333335
5.666666666666667,4.833333333333333
5.0,5.166666666666667
10.0,8.666666666666666
6.0,4.833333333333333
4.166666666666667,4.333333333333333
7.166666666666667,6.833333333333333
6.666666666666667,5.666666666666667
8.833333333333334,8.5
5.666666666666667,5.0
5.833333333333333,4.0
5.5,4.833333333333333
5.166666666666667,4.833333333333333
6.666666666666667,3.0
4.333333333333333,3.6666666666666665
9.5,8.5
6.166666666666667,3.8333333333333335
5.5,4.333333333333333
6.833333333333333,4.166666666666667
8.0,6.166666666666667
5.833333333333333,4.333333333333333
6.0,6.0
9.833333333333334,10.0
7.5,6.0
5.666666666666667,6.333333333333333
4.166666666666667,4.166666666666667
4.333333333333333,6.166666666666667
5.333333333333333,3.1666666666666665
3.8333333333333335,5.0
3.6666666666666665,4.333333333333333
6.833333333333333,5.0
6.833333333333333,5.666666666666667
8.5,7.5
3.8333333333333335,5.333333333333333
9.5,8.666666666666666
6.0,6.333333333333333
4.166666666666667,5.0
